shortName,fullName,city,companySize,positionName,education,workYear,jobNature,salary,formatCreateTime,address,description
Veeva,维我软件（上海）有限公司北京分公司,北京,500-2000人,Python,本科,3-5年,全职,25k-35k,2018-02-09,10号线_三元桥;10号线_亮马桥;10号线_农业展览馆;14号线东段_枣营;机场线_三元桥," 行业领先 超长年假 年度旅游"
马蜂窝,北京蚂蜂窝网络科技有限公司,北京,500-2000人,高级Python开发工程师,本科,3-5年,全职,15k-30k,2018-02-08,," 弹性工作 扁平管理 氛围好 年度体检"
老虎证券,北京优虎商务服务有限公司,北京,150-500人,python开发工程师,本科,1-3年,全职,20k-40k,2018-02-07,10号线_三元桥;10号线_亮马桥;10号线_农业展览馆;机场线_三元桥," 绩效奖金 年底双薪 带薪年假 定期体检"
一亩田,北京一人一亩田网络科技有限公司,北京,150-500人,python开发工程师,本科,3-5年,全职,15k-25k,2018-02-06,10号线_知春路;10号线_西土城;13号线_大钟寺;13号线_知春路," 节日礼物 年底双薪 专项奖金 股票期权"
Quantex,宽拓（北京）科技有限公司,北京,50-150人,Python,本科,3-5年,全职,20k-40k,2018-02-11,2号线_车公庄;2号线_西直门;4号线大兴线_新街口;4号线大兴线_西直门;4号线大兴线_动物园;6号线_车公庄;6号线_车公庄西," 技能培训 节日礼物 带薪年假 年度旅游"
智融集团,北京智融时代科技有限公司,北京,150-500人,Python开发工程师,本科,3-5年,全职,20k-40k,2018-02-08,10号线_知春里;10号线_知春路;10号线_西土城;13号线_大钟寺;13号线_知春路," 股票期权 绩效奖金 五险一金 带薪年假"
LinkDoc,零氪信息技术（北京）有限公司,北京,150-500人,Python,本科,1年以下,全职,13k-20k,2018-02-11,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄;10号线_知春里,
今日头条,北京字节跳动科技有限公司,北京,500-2000人,高级python研发工程师,本科,1-3年,全职,20k-40k,1天前发布,4号线大兴线_人民大学;4号线大兴线_海淀黄庄;10号线_海淀黄庄;10号线_知春里;10号线_知春路;13号线_大钟寺;13号线_知春路," 扁平管理 弹性工作 大厨定制三餐 就近租房补贴"
360企业安全,北京奇安信科技有限公司,北京,2000人以上,python 开发工程师,不限,3-5年,全职,15k-30k,2018-02-12,14号线东段_望京南;14号线东段_将台," 年底双薪 带薪年假 午餐补助 定期体检"
小米,北京小米科技有限责任公司,北京,2000人以上,Python开发工程师-小米电视,本科,3-5年,全职,15k-25k,2018-02-06,13号线_上地," 快速成长 免费班车 扁平管理 技能培训"
家园网,金色家园网络科技有限公司,北京,2000人以上,高级python工程师,本科,5-10年,全职,20k-30k,2018-02-08,," 节日礼物 带薪年假 绩效奖金 管理规范"
摩尔妈妈,北京摩尔妈咪网络科技有限公司,北京,15-50人,Python工程师,本科,1-3年,全职,20k-40k,2018-01-25,14号线东段_东风北桥;14号线东段_枣营," 年底双薪 股票期权 定期体检 带薪年假"
洋葱数学,光合新知（北京）科技有限公司,北京,150-500人,Python,不限,1-3年,全职,15k-30k,1天前发布,," 产品领先行业 关注学习本源 明星跨界团队 股票期权"
便利蜂,便利蜂商贸有限公司,北京,2000人以上,python开发,本科,3-5年,全职,15k-30k,2018-02-12,14号线东段_望京南;14号线东段_将台," 弹性工作 美女多 帅哥多 领导好"
信达泰和,北京信达泰和数据技术有限公司,北京,500-2000人,Python开发工程师,硕士,1-3年,全职,15k-20k,2018-02-13,5号线_和平里北街;5号线_和平西桥;5号线_惠新西街南口;8号线_安华桥;10号线_安贞门;10号线_惠新西街南口," 节日礼物 股票期权 带薪年假 年度旅游"
Veeva,维我软件（上海）有限公司北京分公司,北京,500-2000人,高级Python开发工程师,本科,3-5年,全职,20k-30k,2018-02-09,10号线_三元桥;10号线_亮马桥;10号线_农业展览馆;14号线东段_枣营;机场线_三元桥," 行业领先 超长年假 年度旅游"
小米,北京小米科技有限责任公司,北京,2000人以上,Python开发-服务端,本科,3-5年,全职,25k-35k,2018-02-09,," 快速成长 免费班车 扁平管理 技能培训"
今日头条,北京字节跳动科技有限公司,北京,500-2000人,Python开发工程师,本科,1-3年,全职,20k-35k,1天前发布,," 扁平管理 弹性工作 大厨定制三餐 就近租房补贴"
摩尔妈妈,北京摩尔妈咪网络科技有限公司,北京,15-50人,Python开发工程师,本科,3-5年,全职,30k-50k,2018-01-26,14号线东段_东风北桥;14号线东段_枣营," 年底双薪 股票期权 定期体检 带薪年假"
联想集团,联想（北京）有限公司,北京,2000人以上,Python开发工程师,本科,5-10年,全职,20k-40k,2018-02-11,13号线_西二旗;昌平线_西二旗," 技能培训 待遇优厚 晋升空间 五险一金"
智融集团,北京智融时代科技有限公司,北京,150-500人,高级Python开发工程师,本科,3-5年,全职,20k-40k,2018-02-08,10号线_知春里;10号线_知春路;10号线_西土城;13号线_大钟寺;13号线_知春路," 股票期权 绩效奖金 五险一金 带薪年假"
妙计旅行,北京汇行科技有限公司,北京,150-500人,高级Python研发工程师,本科,1-3年,全职,15k-25k,2018-02-02,2号线_安定门;2号线_雍和宫;5号线_北新桥;5号线_雍和宫;5号线_和平里北街," 股票期权 十四薪 零食饮料水果 团队氛围好"
一起作业网,上海一起作业信息科技有限公司,北京,500-2000人,Python开发工程师,本科,1-3年,全职,15k-30k,2018-02-13,14号线东段_望京;15号线_望京东;15号线_望京," 节日礼物 岗位晋升 扁平管理 领导好"
奇虎360金融,上海淇毓信息科技有限公司,北京,500-2000人,Python开发工程师,本科,3-5年,全职,20k-30k,2018-02-09,14号线东段_望京南;14号线东段_将台," 年底双薪 股票期权 带薪年假 定期体检"
学堂在线,北京慕华信息科技有限公司,北京,150-500人,Python工程师,本科,1-3年,全职,15k-25k,2018-02-09,4号线大兴线_北京大学东门;13号线_五道口;15号线_清华东路西口," 节日礼物 股票期权 带薪年假 氛围轻松"
掌控,北京掌控世代科技有限公司,北京,15-50人,Python研发中级工程师,本科,3-5年,全职,15k-30k,2018-02-09,13号线_西二旗;昌平线_西二旗," 股票期权 带薪年假 定期体检 年度旅游"
家园网,金色家园网络科技有限公司,北京,2000人以上,中级python工程师,本科,3-5年,全职,15k-25k,2018-02-08,," 节日礼物 带薪年假 绩效奖金 管理规范"
iHandy,北京汉迪移动互联网科技股份有限公司,北京,150-500人,Python开发工程师,本科,1-3年,全职,15k-25k,2018-02-13,13号线_五道口;15号线_六道口;15号线_清华东路西口," """""
开拓天际,北京开拓天际科技有限公司,北京,50-150人,Python工程师,本科,3-5年,全职,15k-23k,2018-02-12,10号线_知春路;10号线_西土城;10号线_牡丹园;13号线_大钟寺;13号线_知春路," 年底双薪 股票期权 年终分红 节日礼物"
物灵,北京物灵智能科技有限公司,北京,150-500人,python研发工程师,本科,3-5年,全职,15k-30k,2018-02-12,15号线_望京东," 带薪年假 定期体检 年终分红 餐补"
Veeva,维我软件（上海）有限公司北京分公司,北京,500-2000人,资深Python开发工程师,本科,5-10年,全职,25k-35k,2018-02-09,10号线_三元桥;10号线_亮马桥;10号线_农业展览馆;14号线东段_枣营;机场线_三元桥," 行业领先 超长年假 年度旅游"
小米,北京小米科技有限责任公司,北京,2000人以上,Python开发工程师,本科,3-5年,全职,25k-35k,2018-02-09,," 快速成长 免费班车 扁平管理 技能培训"
Yi+,北京陌上花科技有限公司,北京,15-50人,高级Python开发工程师,本科,3-5年,全职,20k-40k,2018-02-11,4号线大兴线_人民大学;4号线大兴线_海淀黄庄;4号线大兴线_中关村;10号线_苏州街;10号线_海淀黄庄;10号线_知春里," 股票期权 岗位晋升 弹性工作 绩效奖金"
掌阅,掌阅科技股份有限公司,北京,500-2000人,Python研发工程师（中高级）,本科,3-5年,全职,15k-25k,2018-02-09,1号线_四惠东;八通线_四惠东;八通线_高碑店," 专项奖金 带薪年假 年度旅游 扁平管理"
博派通达,北京博派通达科技有限公司,北京,50-150人,Python,大专,1-3年,全职,10K-20K,2018-02-02,5号线_和平西桥;5号线_惠新西街南口;5号线_惠新西街北口;10号线_安贞门;10号线_惠新西街南口;10号线_芍药居;13号线_芍药居;13号线_光熙门," 年底双薪 股票期权 专项奖金 带薪年假"
店商互联,店商互联（北京）科技发展有限公司,北京,500-2000人,Python高级开发工程师,本科,3-5年,全职,15k-25k,2018-01-31,4号线大兴线_人民大学;4号线大兴线_海淀黄庄;4号线大兴线_中关村;10号线_苏州街;10号线_海淀黄庄;10号线_知春里," 技能培训 年底双薪 节日礼物 绩效奖金"
汽车之家,北京车之家信息技术有限公司,北京,2000人以上,Python开发工程师,本科,3-5年,全职,15k-25k,2018-01-23,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄;10号线_知春里," 技能培训 节日礼物 带薪年假 绩效奖金"
码隆科技,深圳码隆科技有限公司,北京,50-150人,高级Python工程师,不限,3-5年,全职,25k-40k,2018-02-11,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄," 技术大牛集聚 扁平管理 五险一金 领导好"
摩尔妈妈,北京摩尔妈咪网络科技有限公司,北京,15-50人,高级Python工程师,本科,3-5年,全职,25k-50k,2018-02-09,14号线东段_东风北桥;14号线东段_枣营," 年底双薪 股票期权 定期体检 带薪年假"
凤凰网,凤凰飞扬（北京）新媒体信息技术有限公司,北京,2000人以上,Python工程师-北京-01084,本科,3-5年,全职,15k-25k,2018-01-30,15号线_望京东," 免费班车 八险一金 各色型男 过节大礼包"
钱方好近,北京钱方银通科技有限公司,北京,150-500人,Python开发工程师,本科,3-5年,全职,25k-30k,2018-02-12,14号线东段_望京;14号线东段_阜通;14号线东段_望京南;15号线_望京东;15号线_望京," 节日礼物 带薪年假 绩效奖金 年度旅游"
朗播网,北京博智天下信息技术有限公司,北京,150-500人,Python开发工程师,本科,1-3年,全职,20k-40k,2018-02-12,13号线_上地," 扁平管理 定期体检 股票期权 团建活动"
CastBox,克鲁（北京）网络科技有限公司,北京,15-50人,Python后端开发工程师,本科,3-5年,全职,20k-40k,2018-02-13,14号线东段_望京;14号线东段_阜通;14号线东段_望京南;15号线_望京," 股票期权 弹性工作 六险一金 免费按摩"
柔持英语,柔持（北京）科技有限公司,北京,150-500人,Python后端开发工程师,本科,1-3年,全职,20k-30k,2018-02-11,14号线东段_阜通;14号线东段_望京南," 交通补助 午餐补助 绩效奖金"
新东方教育行业研究院,北京点石经纬科技有限公司,北京,150-500人,Python工程师,本科,3-5年,全职,15k-25k,2018-02-08,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄," 五险一金 带薪年假 节日礼物 年度旅游"
Veeva,维我软件（上海）有限公司北京分公司,北京,500-2000人,Python软件开发工程师,本科,3-5年,全职,15k-25k,2018-02-09,10号线_三元桥;10号线_亮马桥;10号线_农业展览馆;14号线东段_枣营;机场线_三元桥," 行业领先 超长年假 年度旅游"
小米,北京小米科技有限责任公司,北京,2000人以上,Python工程师（锁屏画报）,本科,3-5年,全职,20k-35k,2018-02-08,13号线_上地," 快速成长 免费班车 扁平管理 技能培训"
码隆科技,深圳码隆科技有限公司,北京,50-150人,Python开发工程师（北京）,不限,3-5年,全职,15k-25k,2018-02-11,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄," 技术大牛集聚 扁平管理 五险一金 领导好"
LBE 科技,永杨安风（北京）科技有限公司,北京,50-150人,资深Python工程师,本科,3-5年,全职,35k-45k,2018-01-31,1号线_四惠东;八通线_四惠东;八通线_高碑店," 绩效奖金 专项奖金 带薪年假 节日礼物"
东方国信,北京东方国信科技股份有限公司,北京,2000人以上,Python开发工程师,本科,5-10年,全职,18k-25k,2018-01-26,14号线东段_来广营;14号线东段_东湖渠," 大数据软件 技能培训 节日礼物 年底双薪"
新浪网,新浪网技术（中国）有限公司,北京,2000人以上,Python开发工程师,本科,1-3年,全职,13k-26k,2018-02-09,16号线_马连洼," 免费班车 岗位晋升 五险一金 定期体检"
掌阅,掌阅科技股份有限公司,北京,500-2000人,Python研发工程师,本科,1-3年,全职,18k-25k,2018-01-30,1号线_四惠东;八通线_四惠东;八通线_高碑店," 专项奖金 带薪年假 年度旅游 扁平管理"
微车,北京步鼎方舟科技有限公司,北京,150-500人,Python高级开发工程师,本科,3-5年,全职,20k-30k,2018-02-14,10号线_苏州街;10号线_长春桥;10号线_火器营,
果壳网,北京果壳互动信息技术有限公司,北京,150-500人,高级Python开发工程师,本科,3-5年,全职,20k-40k,2018-02-12,1号线_国贸;1号线_大望路;7号线_九龙山;10号线_国贸;14号线东段_大望路;14号线东段_九龙山," 技能培训 年度旅游 岗位晋升 家庭式三餐"
第三石科技,北京第三石科技发展有限公司,北京,50-150人,Python高级开发工程师,本科,3-5年,全职,18k-36k,2018-02-12,14号线东段_望京;14号线东段_阜通;14号线东段_望京南;15号线_望京东;15号线_望京," 股票期权 交通补助 带薪年假 扁平管理"
会分期,会找房（北京）网络技术有限公司,北京,150-500人,python开发工程师,本科,3-5年,全职,15k-30k,2018-02-11,13号线_西二旗;昌平线_西二旗," 节日礼物 股票期权 带薪年假 年度旅游"
零用钱,北京零用钱科技有限公司,北京,50-150人,Python,本科,1-3年,全职,13k-16k,2018-02-05,," 年终分红 股票期权 五险一金 带薪年假"
北京中铁信,北京中铁信科技有限公司,北京,50-150人,Python中级研发工程师,本科,3-5年,全职,14k-23k,2018-01-31,," 带薪年假 绩效奖金 年度旅游 定期体检"
西贝,内蒙古西贝餐饮连锁有限责任公司,北京,2000人以上,Python高级开发工程师,大专,3-5年,全职,12K-16K,2018-01-25,,
好巧,北京好巧国际旅行社有限公司,北京,150-500人,Linux C++/Python中高级研发工程师,本科,3-5年,全职,25k-35k,2018-02-13,5号线_和平西桥;5号线_惠新西街南口;8号线_安华桥;8号线_北土城;10号线_北土城;10号线_安贞门;10号线_惠新西街南口," 五险一金 弹性工作 扁平管理 百万医疗"
Veeva,维我软件（上海）有限公司北京分公司,北京,500-2000人,高级Python开发工程师,本科,5-10年,全职,25k-35k,2018-02-09,10号线_三元桥;10号线_亮马桥;10号线_农业展览馆;14号线东段_枣营;机场线_三元桥," 行业领先 超长年假 年度旅游"
小米,北京小米科技有限责任公司,北京,2000人以上,Python/Go开发工程师-小米视频,本科,3-5年,全职,20k-35k,2018-02-08,13号线_上地," 快速成长 免费班车 扁平管理 技能培训"
掌阅,掌阅科技股份有限公司,北京,500-2000人,高级Python研发工程师,本科,3-5年,全职,25k-35k,2018-02-09,1号线_四惠东;八通线_四惠东;八通线_高碑店," 专项奖金 带薪年假 年度旅游 扁平管理"
乐信圣文,北京乐信圣文科技有限责任公司,北京,15-50人,高级Python开发工程师,本科,3-5年,全职,20k-40k,2018-02-11,8号线_永泰庄;8号线_西小口," 交通补助 午餐补助 项目奖金 季度奖金"
深信服科技集团,深信服科技股份有限公司,北京,2000人以上,Python开发工程师,本科,3-5年,全职,14k-28k,2018-02-09,4号线大兴线_陶然亭;4号线大兴线_菜市口;7号线_菜市口,
Face++,北京旷视科技有限公司,北京,500-2000人,高级Python开发工程师,本科,3-5年,全职,25k-50k,2018-02-08,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_海淀黄庄;10号线_知春里;13号线_五道口," 科技大牛公司 自助三餐 年终多薪 超长带薪假期"
TalkingData,北京腾云天下科技有限公司,北京,500-2000人,Python工程师,本科,3-5年,全职,20k-30k,2018-02-01,2号线_东直门;13号线_柳芳;13号线_东直门;机场线_东直门," 精英团队 扁平管理 海量数据 弹性工作"
去哪儿网,北京趣拿软件科技有限公司,北京,2000人以上,Python高级研发工程师-度假事业部(J11528),本科,3-5年,全职,20k-40k,2018-02-13,4号线大兴线_人民大学;4号线大兴线_海淀黄庄;4号线大兴线_中关村;10号线_苏州街;10号线_海淀黄庄;10号线_知春里," 技能培训 节日礼物 带薪年假 无息住房贷款"
好巧,北京好巧国际旅行社有限公司,北京,150-500人,python高级工程师,本科,5-10年,全职,25k-35k,2018-02-13,5号线_和平西桥;5号线_惠新西街南口;8号线_安华桥;8号线_北土城;10号线_北土城;10号线_安贞门;10号线_惠新西街南口," 五险一金 弹性工作 扁平管理 百万医疗"
秒针系统,北京秒针信息咨询有限公司,北京,150-500人,Python开发工程师,本科,1-3年,全职,15k-30k,2018-02-12,14号线东段_望京;14号线东段_阜通;14号线东段_望京南;15号线_望京东;15号线_望京," 节日礼物 技能培训 年底双薪 技术精英众多"
第三石科技,北京第三石科技发展有限公司,北京,50-150人,Python开发工程师,本科,3-5年,全职,15k-30k,2018-02-12,14号线东段_望京;14号线东段_阜通;14号线东段_望京南;15号线_望京东;15号线_望京," 股票期权 交通补助 带薪年假 扁平管理"
闪银奇异,北京闪银奇异科技有限公司,北京,500-2000人,Python 数据开发工程师,本科,3-5年,全职,20k-40k,2018-02-08,6号线_呼家楼;10号线_农业展览馆;10号线_团结湖;10号线_呼家楼;14号线东段_枣营;14号线东段_朝阳公园," 13~15薪 晋升空间大 定期体检 能力定薪"
博派通达,北京博派通达科技有限公司,北京,50-150人,Python（模拟请求）,大专,1-3年,全职,10K-20K,2018-02-02,5号线_和平西桥;5号线_惠新西街南口;5号线_惠新西街北口;10号线_安贞门;10号线_惠新西街南口;10号线_芍药居;13号线_芍药居;13号线_光熙门," 年底双薪 股票期权 专项奖金 带薪年假"
多牛传媒,北京多牛互动传媒股份有限公司,北京,150-500人,Python开发工程师,本科,1-3年,全职,10k-15k,2018-01-31,," 五险一金 节日礼物 弹性工作 岗位晋升"
NewsJet,北京智分科技有限公司,北京,50-150人,高级Python开发工程师,本科,3-5年,全职,25k-45k,2018-02-12,10号线_知春路;10号线_西土城;13号线_大钟寺;13号线_知春路," 年底双薪 免费两餐 Geek范 免费健身"
Veeva,维我软件（上海）有限公司北京分公司,北京,500-2000人,Software Engineer -Python,本科,3-5年,全职,25k-35k,2018-02-09,10号线_三元桥;10号线_亮马桥;10号线_农业展览馆;14号线东段_枣营;机场线_三元桥," 行业领先 超长年假 年度旅游"
小米,北京小米科技有限责任公司,北京,2000人以上,Python开发工程师,本科,3-5年,全职,20k-30k,2018-02-09,," 快速成长 免费班车 扁平管理 技能培训"
Face++,北京旷视科技有限公司,北京,500-2000人,Python后端开发工程师,本科,3-5年,全职,25k-50k,2018-02-05,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_海淀黄庄;10号线_知春里;13号线_五道口," 科技大牛公司 自助三餐 年终多薪 超长带薪假期"
好巧,北京好巧国际旅行社有限公司,北京,150-500人,python高级工程师,本科,5-10年,全职,25k-35k,2018-02-13,5号线_和平西桥;5号线_惠新西街南口;8号线_安华桥;8号线_北土城;10号线_北土城;10号线_安贞门;10号线_惠新西街南口," 五险一金 弹性工作 扁平管理 百万医疗"
博派通达,北京博派通达科技有限公司,北京,50-150人,Python（模拟请求）,大专,1-3年,全职,10K-20K,2018-02-02,5号线_和平西桥;5号线_惠新西街南口;5号线_惠新西街北口;10号线_安贞门;10号线_惠新西街南口;10号线_芍药居;13号线_芍药居;13号线_光熙门," 年底双薪 股票期权 专项奖金 带薪年假"
多牛传媒,北京多牛互动传媒股份有限公司,北京,150-500人,Python开发工程师,本科,1-3年,全职,10k-15k,2018-01-31,," 五险一金 节日礼物 弹性工作 岗位晋升"
NewsJet,北京智分科技有限公司,北京,50-150人,高级Python开发工程师,本科,3-5年,全职,25k-45k,2018-02-12,10号线_知春路;10号线_西土城;13号线_大钟寺;13号线_知春路," 年底双薪 免费两餐 Geek范 免费健身"
联想集团,联想（北京）有限公司,北京,2000人以上,python开发高级工程师,本科,3-5年,全职,18k-35k,2018-02-11,13号线_西二旗;昌平线_西二旗," 技能培训 待遇优厚 晋升空间 五险一金"
闪银奇异,北京闪银奇异科技有限公司,北京,500-2000人,中高级Python开发,本科,3-5年,全职,15k-30k,2018-02-11,," 13~15薪 晋升空间大 定期体检 能力定薪"
人人行(借贷宝),人人行科技有限公司,北京,2000人以上,高级Python,本科,3-5年,全职,25k-35k,2018-02-07,," 年底双薪 节日礼物 绩效奖金 岗位晋升"
美团点评,北京三快在线科技有限公司,北京,2000人以上,python工程师,本科,3-5年,全职,20k-40k,2018-02-06,15号线_望京东," 技能培训 绩效奖金 岗位晋升 领导好"
新东方教育行业研究院,北京点石经纬科技有限公司,北京,150-500人,高级Python工程师,本科,5-10年,全职,20k-30k,2018-02-05,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄;10号线_知春里," 五险一金 带薪年假 节日礼物 年度旅游"
大鱼自助游,北京鱼行天下网络科技有限公司,北京,50-150人,Python开发工程师,本科,1-3年,全职,20k-40k,2018-02-02,10号线_亮马桥;14号线东段_东风北桥;14号线东段_枣营," 五险一金 专项奖金 半年调薪 团建旅游"
博云,苏州博纳讯动软件有限公司,北京,150-500人,python开发工程师,本科,1-3年,全职,10k-20k,2018-02-01,10号线_牡丹园;10号线_健德门," 凝聚力强 客户群广 发展迅速 团队年轻"
北京中铁信,北京中铁信科技有限公司,北京,50-150人,Python 中级研发工程师,本科,3-5年,全职,15k-30k,2018-01-31,," 带薪年假 绩效奖金 年度旅游 定期体检"
Veeva,维我软件（上海）有限公司北京分公司,北京,500-2000人,高级工程师-Python,本科,5-10年,全职,25k-35k,2018-02-09,10号线_三元桥;10号线_亮马桥;10号线_农业展览馆;14号线东段_枣营;机场线_三元桥," 行业领先 超长年假 年度旅游"
小米,北京小米科技有限责任公司,北京,2000人以上,后台开发-Python,本科,3-5年,全职,25k-35k,2018-02-09,," 快速成长 免费班车 扁平管理 技能培训"
大鱼自助游,北京鱼行天下网络科技有限公司,北京,50-150人,Python工程师,本科,1-3年,全职,15k-30k,2018-02-02,10号线_亮马桥;14号线东段_东风北桥;14号线东段_枣营," 五险一金 专项奖金 半年调薪 团建旅游"
学堂在线,北京慕华信息科技有限公司,北京,150-500人,系统开发工程师（Python）,本科,5-10年,全职,20k-30k,2018-02-12,4号线大兴线_北京大学东门;13号线_五道口;15号线_清华东路西口," 节日礼物 股票期权 带薪年假 氛围轻松"
真格基金,北京真格天成投资管理有限公司,北京,50-150人,python工程师-真格基金投资企业-互影科技,本科,1-3年,全职,15k-25k,2018-02-07,14号线东段_望京南;14号线东段_将台,
马上金融,马上消费金融股份有限公司,北京,2000人以上,Python开发工程师,大专,3-5年,全职,20k-30k,2018-02-05,1号线_国贸;1号线_大望路;6号线_金台路;10号线_金台夕照;10号线_国贸;14号线东段_金台路;14号线东段_大望路," 股票期权 年终分红 绩效奖金 带薪年假"
博派通达,北京博派通达科技有限公司,北京,50-150人,Python资深工程师,大专,5-10年,全职,20K-40K,2018-02-05,5号线_和平西桥;5号线_惠新西街南口;5号线_惠新西街北口;10号线_安贞门;10号线_惠新西街南口;10号线_芍药居;13号线_芍药居;13号线_光熙门," 年底双薪 股票期权 专项奖金 带薪年假"
星尘数据,北京星尘纪元智能科技有限公司,北京,少于15人,高级Python工程师,本科,3-5年,全职,20k-35k,2018-01-31,10号线_亮马桥;10号线_农业展览馆;10号线_团结湖,
况客科技,况客科技(北京)有限公司,北京,15-50人,Python 工程师,本科,1-3年,全职,15k-30k,2018-01-25,2号线_东四十条;2号线_朝阳门;6号线_东大桥;6号线_朝阳门," 定期体检 午餐补助 带薪年假 绩效奖金"
