Jason Mraz , 2008-05-13 , Import , 民谣
Coldplay , 2008-06-17 , 专辑 , 摇滚
陈绮贞 , 2005-09-23 , 专辑 , 流行
周杰伦 , 2001-09-14 , 专辑 , 流行
五月天 , 2008-10-23 , 专辑 , 摇滚
孙燕姿 , 2011-03-08 , 专辑 , 流行
Lenka , 2008-09-23 , 专辑 , 流行
王若琳 , 2008-01-11 , 专辑 , 爵士
陈绮贞 , 2004-02-02 , 单曲 , 流行
陈绮贞 , 2009-01-22 , 专辑 , 流行
"Glen Hansard,Marketa Irglova ", 2007-05-22 , Soundtrack , 原声
Keren Ann , 2004-08-24 , Import , 民谣
Green Day , 2004-09-21 , Explicit Lyrics , 摇滚
张震岳 , 2007-07-06 , 专辑 , 流行
苏打绿 , 2007-11-02 , 专辑 , 流行
张悬 , 2007-07-20 , 专辑 , CD
张悬 , 2009-05-22 , 专辑 , 摇滚
Damien Rice , 2003 , 专辑 , 流行
Green Day , 2005-06-13 , 单曲 , 摇滚
周杰伦 , 2003-07-31 , 专辑 , 流行
周杰伦 , 2004 , 专辑 , 流行
Adele , 2011-02-01 , 专辑 , 流行
张悬 , 2006-06-09 , 专辑 , 流行
王菲 , 2000 , 专辑 , 流行
苏打绿 , 2011-11-11 , 专辑 , 流行
林宥嘉 , 2009-10-30 , 专辑 , 流行
Nirvana , 1991 , 专辑 , 摇滚
周杰伦 , 2002-07-19 , 专辑 , 流行
周杰伦 , 2000-11-13 , 专辑 , 流行
Coldplay , 2000-07-10 , 专辑 , 流行
孙燕姿 , 2000-12-7 , 专辑 , 流行
陈绮贞 , 2000 , 专辑 , 流行
Avril Lavigne , 2002 , Enhanced , 摇滚
周杰伦 , 2005-11-01 , 专辑 , 流行
方大同 , 2008-12-19 , 专辑 ,R&B
苏打绿 Sodagreen , 2006-10-20 , 专辑 , 流行
蔡健雅 , 2009-08-19 , 专辑 , 流行
Lady & Bird , 2003 , Import , 民谣
万能青年旅店 , 2010-11-12 , 专辑 , 摇滚
Linkin Park , 2003-03-25 , Enhanced , 摇滚
James Blunt , 2004 , Explicit Lyrics , 流行
"苏打绿,K打G ", 2005年9月 , 国语 , 流行
梁静茹 , 2009-01-16 , 专辑 , 流行
林宥嘉 , 2011-05-06 , 专辑 , 流行
Yann Tiersen , 2001-04-23 , Soundtrack , Audio CD
王若琳 , 2009-01-16 , 专辑 , CD
Tamas Wells , 2006 , Import , 民谣
田馥甄（Hebe） , 2010-09-03 , 专辑 , 流行
孙燕姿 , 2007-03-22 , Import , 流行
王菲 , 1999-09-10 , Import , 流行
Chris Garneau , 2007-01-23 , 引进版 , 民谣
孙燕姿 , 2003-08-22 , 专辑 , 流行
陈奕迅 , 2003-11-20 , 选集 , 流行
苏打绿 , 2009-05-08 , 专辑 , 摇滚
RV仲 , 2008-5-27 , 专辑 , 民谣
梁静茹 , 2007-11-09 , 专辑 , 流行
陈绮贞 , 2005 , 选集 , 民谣
Joe Hisaishi , 1999-05-19 , 专辑 , 原声
Taylor Swift , 2008-11-11 , Enhanced , 流行
Mika , 2007-02-05 , 专辑 , 流行
陈奕迅 , 2009-03-23 , 专辑 , 流行
林宥嘉 , 2008-06-03 , 专辑 , 流行
Bruno Coulais , 2004-05-03 , Soundtrack , Audio CD
范晓萱&100% , 2009-08-10 , 专辑 , 流行
Damien Rice , 2006-11-06 , 专辑 , 民谣
王菲 , 2003 , 专辑 , 流行
曹方 , 2005年12月 , 专辑 , 流行
李志 , 2007-01-11 , CD , 民谣
方大同 , 2009-08-11 , 自选集 ,R&B
周杰伦 , 2006-09-05 , 专辑 , 流行
孙燕姿 , 2001-07-09 , 专辑 , 流行
孙燕姿 , 2005-10-07 , 专辑 , 流行
The Weepies , 2006 , Import , 民谣
陶 , 2002 , 专辑 , 流行
Avril Lavigne , 2004-05-12 , Import , 摇滚
孙燕姿 , 2004-10-1 , 专辑 , 流行
Lady Gaga , 2008-08-19 , Import , 电子
Jason Mraz , 2005-07-04 , Import , 流行
五月天 , 2006-12-28 , 引进版 , 流行
Daniel Powter , 2006 , 专辑 , 流行
Jason Mraz , 2008-12-16 , Single , Audio CD
My Little Airport , 2004-08-07 , 引进版 , 流行
许巍 , 2002 , 专辑 , 流行
朴树 , 2003 , 专辑 , 流行
周杰伦 , 2007-11-01 , 专辑 , 流行
苏打绿 , 2009-09-11 , 专辑 , 摇滚
范晓萱 , 2001-08-25 , 专辑 , 爵士
曹方 , 2009-11-11 , 专辑 , 流行
孙燕姿 , 2003-01-10 , 专辑 , 流行
Radiohead , 1997 , 专辑 , 摇滚
Lana Del Rey , 2012-01-31 , 专辑 , 流行
Pink Floyd , 1979 , 专辑 , 摇滚
痛仰 , 2008-10 , 专辑 , CD
Linkin Park , 2000 , 专辑 , 摇滚
Nirvana , 1994-11-01 , Live , 摇滚
陈绮贞 , 2004年12月 , EP , 流行
Jack Johnson , 2005-03-22 , 专辑 , 民谣
五月天 , 2004-11-05 , 专辑 , 摇滚
五月天 , 2007-07-20 , 专辑 , 流行
陈奕迅 , 2008-06-30 , 专辑 , CD
曲婉婷 , 2010-02-24 , 单曲 , 流行
Ennio Morricone , 1999-10-12 , Soundtrack , Audio CD
张楚 , 1994 , 专辑 , 摇滚
徐佳莹 , 2009-05-29 , 专辑 , 流行
Avril Lavigne , 2007-04-17 , Import , Audio CD
五月天 , 2005-11-18 , 专辑 , 摇滚
The Beatles , 2000 , 专辑 , 摇滚
周杰伦 , 2008-10-09 , 专辑 , 流行
Coldplay , 2005-06-07 , 专辑 , 摇滚
Adele , 2008-01-28 , Import ,R&B
My Little Airport , 2007-10-10 , CD , 流行
五月天 , 2003-11-11 , 专辑 , 摇滚
孙燕姿 , 2000-06-08 , 专辑 , CD
陈奕迅 , 2010-03-12 , EP , 流行
陈绮贞 , 2008-07-13 , 单曲 , 流行
田馥甄 , 2011-09-02 , 专辑 , 流行
梁静茹 , 2006-10-06 , 专辑 , 流行
王菲 , 2002 , 选集 , 流行
陈奕迅 , 2011-02-22 , EP , 流行
Norah Jones , 2002 , 专辑 , 爵士
朴树 , 2014-07-16 , 单曲 , 数字(Digital)
陈奕迅 , 2007-04-24 , 专辑 , 流行
Green Day , 2009-05-15 , 专辑 , 摇滚
 , 2012-08-10 , 专辑 , 流行
王菲 , 1998 , Import , 流行
陈绮贞 , 2007-05-18 , 演唱会, CD DVD
朴树 , 1999-1 , 专辑 , 流行
GALA , 2004 , 专辑 , 摇滚
孙燕姿 , 2002年1月 , 专辑 , 流行
李宗盛 , 2007-09-28 , 台版 , 流行
曹方 , 2007-11-20 , EP , 流行
窦唯 , 1994-10 , 专辑 , 摇滚
My Little Airport , 2009-11-20 , 专辑 , 流行
"周杰,Terdsak Janpan,詹宇豪,承麒,S婉琦,姚K蓉,S俊郎,江Z晨,Ls交F ", 2007-08-13 , Soundtrack , CD
梁静茹 , 2005 , 专辑 , 流行
James Blunt , 2007-09-18 , Import , 流行
"F.I.R.,飞儿乐团 ", 2004-04-29 , 专辑 , 流行
陈奕迅 , 2009-09-23 , 专辑 , CD
Linkin Park , 2007-05-15 , 专辑 , 摇滚
"蔡健雅,Tanya ", 2007-10-19 , 专辑 , 流行
Adele , 2011-01-24 , 单曲 , 数字(Digital)
苏打绿 , 2006-09-18 , EP , 流行
Pink Floyd , 1973 , 专辑 , 摇滚
王菲 , 2001 , 专辑 , 流行
逃跑计划 , 2011-04-12 , 单曲 , 流行
GALA , 2011-03-24 , 专辑 , 流行
莫文蔚 , 2010-07-26 , 专辑 , 流行
陈奕迅 , 2003 , 专辑 , 流行
宋冬野 , 2013-08-26 , 专辑 , 民谣
宇多田ヒカル , 2008-05-21 , CD IMPORT , 流行
陈绮贞 , 2002-08-02 , 专辑 , 流行
The Innocence Mission , 2004 , 专辑 , 民谣
"Timbaland,OneRepublic ", 2007-11-06 , Single , Audio CD
王菲 , 2009-06-25 , 选集 , 流行
周杰伦 , 2010-05-14 , 专辑 , 雷鬼
孙燕姿 , 2002-5-21 , 专辑 , 流行
李志 , 2005-12-01 , 专辑 , 民谣
陈奕迅 , 2006 , 专辑 , 流行
五月天 , 2011-12-20 , 专辑 , 流行
陶 , 2003-08-08 , 选集 , 流行
Maroon 5 , 2007-05-22 , 专辑 , 流行
张悬 , 2008-10-20 , Bootleg , 民谣
蔡健雅 Tanya Chua , 2003-06-00 , 专辑 , 流行
王菲 , 1996 , 港版 , 摇滚
自然卷 , 2004 , 专辑 , 民谣
刘若英 , 2010-04-16 , 专辑 , 流行
Rosie Thomas , 2007-03-13 , 专辑 , 民谣
苏打绿 , 2008 , 引进版 , CD
Lily Allen , 2009-02-09 , 专辑 , 流行
手炜 , 2008-03-05 , Import , 流行
李志 , 2009-10-16 , 专辑 , 民谣
大乔小乔 , 2007-07-12 , 平装版 , 民谣
范晓萱 , 2004 , 专辑 , 流行
卡奇社 , 2007-04-20 , 专辑 , 流行
冯曦妤 , 2008-11-20 , 专辑 , 流行
Coldplay , 2000-07-03 , EP , 摇滚
Keane , 2004 , 专辑 , 摇滚
陈奕迅 , 2005-06-07 , 专辑 , 流行
Maximilian Hecker , 2005 , Import , 民谣
"久石j(Joe Hisaishi),杉K雇合唱,井上杏美 ", 1993-12-21 , Soundtrack , 原声
崔健 , 1989 , 专辑 , 摇滚
"棉花糖,katncandix2 ", 2009-05-01 , 专辑 , 民谣
好妹妹乐队 , 2012-07-01 , 专辑 , 民谣
陈绮贞 , 1998-07-14 , 专辑 , 民谣
方大同 , 2007-12-28 , 专辑 ,R&B
方大同 , 2006-12 , 专辑 , 流行
逃跑计划 , 2011-12-31 , 专辑 , 摇滚
卢广仲 , 2009-10-30 , 专辑 , CD
Nirvana , 2002-10-29 , Extra tracks , 摇滚
Coldplay , 2002 , 专辑 , 流行
"The Velvet Underground,Nico ", 1967-04 , 专辑 , 摇滚
"Eminem,Rihanna ", 2010-08-20 , Single , 说唱
王菲 , 1994 , Import , 流行
Original Soundtrack , 2009-03-30 , Import , CD
Oasis , 1995 , 专辑 , 摇滚
陈绮贞 , 2007-02-08 , 单曲 , 民谣
Salyu , 2001 , 专辑 , 原声
Evanescence , 2003 , 专辑 , 摇滚
黑豹 , 1992-12-01 , 专辑 , 摇滚
苏打绿 , 2010-08-27 , 视频 , 流行
梁静茹 , 2003年3月 , 专辑 , 流行
Suede , 1993 , 专辑 , 流行
Radiohead , 1995 , 专辑 , 摇滚
林海 , 2004 , 专辑 , 轻音乐
陈奕迅 , 2011-11-11 , 专辑 , 流行
彭坦 , 2007-07-23 , 专辑 , 流行
雷光夏 , 2006-12-01 , 专辑 , 民谣
范晓萱 , 1999-11-1 , 国语 , 流行
五月天 , 2001-07-06 , 专辑 , 摇滚
Owl City , 2008-03-18 , Import , 流行
李志 , 2009-01-22 , 专辑 , 民谣
The Beatles , 1990-10-25 , Enhanced , 摇滚
Lily Allen , 2006 , Import , 流行
林宥嘉 , 2012-06-22 , 专辑 , 流行
牛奶@咖啡 , 2008-03-18 , 专辑 , 流行
梁静茹 , 2004 , 专辑 , 流行
戴佩妮 , 2009-05-16 , 专辑 , 流行
王菲 , 2010-11-05 , 单曲 , 民谣
Daniel Powter , 2008-10-14 , 专辑 , 流行
五月天 , 2006 , 视频 , 流行
曲婉婷 , 2012-07-01 , 专辑 , 流行
王菲 , 1997-09-30 , 专辑 , 流行
汪峰 , 2009-07-25 , 专辑 , 摇滚
莫文蔚 , 2002-04-29 , 专辑 , 流行
Maroon 5 , 2002 , 专辑 , 流行
Amy Winehouse , 2006-11-30 , 专辑 ,R&B
陈绮贞 , 2001-11-09 , Demo , 流行
孙燕姿 , 2014-02-27 , 专辑 , 流行
Mariah Carey , 2008-04-16 , 专辑 , 流行
Damien Rice , 2006-11-27 , 单曲 , Audio CD
陈珊妮 , 2008-11-22 , 专辑 , 流行
郑钧 , 1994 , Album , 摇滚
张震岳 , 2004-06-24 , 选集 , 流行
"朱玫玲,董\昌,王雁盟,何真真 ", 2004,04, CD
Green Day , 2009-07-14 , Single , Audio CD
蔡依林 , 2003-05-22 , 专辑 , 流行
五月天 , 2011-12-20 , 专辑 , 流行
Oasis , 1994-08-30 , 专辑 , 摇滚
宇多田ヒカル , 1999 , 专辑 , 流行
张惠妹 , 2009-06-26 , 专辑 , 流行
王力宏 , 2008-12-26 , 专辑 , 流行
The xx , 2009-08-17 , 专辑 , 摇滚
莫文蔚 , 2009-06-23 , 专辑 , 流行
Tizzy Bac , 2009-02-13 , 专辑 , 流行
五月天 , 2003年4月17日 , 专辑 , CD
萧敬腾 , 2009-07-17 , 专辑 , CD
Lady Gaga ," September 23, 2008 ", Single , Audio CD
唐朝 , 1992-12 , CD＋DVD , 摇滚
周杰伦 , 2003-12-1 , EP , 流行
林俊杰 , 2010-12-08 , 专辑 , 流行
